"country_name","country_code_3","total_jobs","avg_salary_eur","max_salary_eur","stddev_salary"
"Israel","ISR","8","128250","190000.00","46954"
"United States","USA","19820","107449","712500.00","42832"
"Australia","AUS","146","107260","181925.00","26481"
"Singapore","SGP","17","105639","142500.00","20058"
"New Zealand","NZL","39","97583","162450.00","34802"
"Canada","CAN","1089","88445","282017.00","32886"
"Ireland","IRL","37","86246","147250.00","34356"
"Türkiye","TUR","7","82258","147250.00","55351"
"Mexico","MEX","32","74035","735300.00","129127"
"Germany","DEU","66","73300","213750.00","36258"
"Japan","JPN","8","71541","123215.00","39061"
"Finland","FIN","12","66500","147250.00","44467"
"Italy","ITA","9","66305","183350.00","48669"
"Nigeria","NGA","5","66120","190000.00","70779"
"United Kingdom","GBR","998","65674","562875.00","46924"
"Poland","POL","18","64966","191999.75","45969"
"Netherlands","NLD","53","62333","110399.50","18732"
"South Africa","ZAF","10","60084","130029.35","41498"
"France","FRA","151","57819","209934.80","35298"
"Argentina","ARG","26","54804","85500.00","20760"
"Brazil","BRA","29","51801","142500.00","30795"
"Austria","AUT","46","49581","130150.00","19875"
"Lithuania","LTU","94","48755","342000.00","32983"
"Spain","ESP","43","43834","118750.00","17060"
"Estonia","EST","6","42874","50464.00","8507"
"Colombia","COL","15","38669","79800.00","21157"
"India","IND","38","37996","147250.00","32609"
"Portugal","PRT","11","37595","51284.80","11118"
"Jamaica","JAM","12","37428","49904.45","13031"
"Cyprus","CYP","6","34879","51999.20","10645"
"Chile","CHL","9","32651","72568.60","22479"
"Philippines","PHL","35","32649","104500.00","26979"
"Latvia","LVA","28","32492","53279.80","8789"
"Slovakia","SVK","34","28013","46866.35","8292"
